# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Tue Jan 31 08:06:14 2017
#
# COLUMN pl_hostname:    Host Name
# COLUMN pl_letter:      Planet Letter
# COLUMN pl_discmethod:  Discovery Method
# COLUMN pl_pnum:        Number of Planets in System
# COLUMN pl_orbper:      Orbital Period [days]
# COLUMN pl_orbsmax:     Orbit Semi-Major Axis [AU]
# COLUMN pl_orbeccen:    Eccentricity
# COLUMN pl_orbincl:     Inclination [deg]
# COLUMN pl_radj:        Planet Radius [Jupiter radii]
# COLUMN pl_dens:        Planet Density [g/cm**3]
# COLUMN ra_str:         RA [sexagesimal]
# COLUMN ra:             RA [sexagesimal]
# COLUMN dec_str:        Dec [sexagesimal]
# COLUMN dec:            Dec [sexagesimal]
# COLUMN st_dist:        Distance [pc]
# COLUMN st_optmag:      Optical Magnitude [mag]
# COLUMN st_teff:        Effective Temperature [K]
# COLUMN st_mass:        Stellar Mass [Solar mass]
# COLUMN st_rad:         Stellar Radius [Solar radii]
# COLUMN pl_eqt:         Equilibrium Temperature [K]
# COLUMN pl_masse:       Planet Mass [Earth mass]
# COLUMN pl_rade:        Planet Radius [Earth radii]
# COLUMN st_sp:          Spectral Type
# COLUMN st_spstr:       Spectral Type
#
rowid,pl_hostname,pl_letter,pl_discmethod,pl_pnum,pl_orbper,pl_orbsmax,pl_orbeccen,pl_orbincl,pl_radj,pl_dens,ra_str,ra,dec_str,dec,st_dist,st_optmag,st_teff,st_mass,st_rad,pl_eqt,pl_masse,pl_rade,st_sp,st_spstr
1391,Kepler-1385,b,Transit,1,2.88879862,,,,0.076,,18h50m31.53s,282.631369,+46d28m52.0s,46.481106,527.00,12.858,5732.00,1.15,1.29,,,0.850,,
1392,Kepler-1386,b,Transit,1,6.73972381,,,,0.111,,18h43m17.61s,280.823394,+42d38m09.8s,42.636056,838.00,14.455,5733.00,1.02,1.03,,,1.240,,
1393,Kepler-1387,b,Transit,1,2.27952666,,,,0.083,,19h29m45.70s,292.440396,+43d12m34.0s,43.209431,491.00,14.589,5046.00,0.82,0.77,,,0.930,,
1394,Kepler-1388,b,Transit,4,12.28546030,,,,0.231,,18h53m20.65s,283.336040,+47d10m28.3s,47.174535,492.00,16.279,4098.00,0.63,0.61,,,2.590,,
1395,Kepler-1388,c,Transit,4,5.53608151,,,,0.202,,18h53m20.65s,283.336040,+47d10m28.3s,47.174535,492.00,16.279,4098.00,0.63,0.61,,,2.260,,
1396,Kepler-1388,d,Transit,4,20.95681580,,,,0.255,,18h53m20.65s,283.336040,+47d10m28.3s,47.174535,492.00,16.279,4098.00,0.63,0.61,,,2.860,,
1397,Kepler-1388,e,Transit,4,37.63270840,,,,0.219,,18h53m20.65s,283.336040,+47d10m28.3s,47.174535,492.00,16.279,4098.00,0.63,0.61,,,2.460,,
1398,Kepler-1389,b,Transit,1,99.25309510,,,,0.158,,19h02m52.18s,285.717427,+44d45m30.3s,44.758423,521.00,14.699,5078.00,0.81,0.74,,,1.770,,
1399,Kepler-139,b,Transit,2,15.77104400,0.127000,,,0.262,,18h49m34.07s,282.391957,+43d53m21.7s,43.889351,,12.701,5594.00,1.08,1.30,,,2.940,,
1400,Kepler-139,c,Transit,2,157.07287800,0.586000,,,0.302,,18h49m34.07s,282.391957,+43d53m21.7s,43.889351,,12.701,5594.00,1.08,1.30,,,3.380,,
1401,Kepler-1390,b,Transit,1,6.48021673,,,,0.105,,19h54m38.96s,298.662345,+48d14m55.6s,48.248764,760.00,14.421,5753.00,0.98,0.98,,,1.180,,
1402,Kepler-1391,b,Transit,1,54.40923330,,,,0.150,,19h39m19.45s,294.831023,+46d39m34.5s,46.659592,721.00,13.852,5840.00,1.03,1.10,,,1.680,,
1403,Kepler-1392,b,Transit,1,15.14103970,,,,0.175,,19h15m04.07s,288.766976,+46d23m39.9s,46.394424,1117.00,15.679,5479.00,0.88,0.85,,,1.960,,
1404,Kepler-1393,b,Transit,1,2.44357812,,,,0.071,,18h57m50.27s,284.459458,+40d08m33.2s,40.142553,462.00,13.348,5697.00,0.95,0.92,,,0.800,,
1405,Kepler-1394,b,Transit,1,3.93766373,,,,0.124,,18h53m48.77s,283.453200,+45d05m02.9s,45.084141,820.00,11.801,6481.00,1.64,2.55,,,1.390,,
1406,Kepler-1395,b,Transit,1,3.78470649,,,,0.071,,19h29m21.01s,292.337551,+47d39m51.1s,47.664200,507.00,12.581,6138.00,1.17,1.23,,,0.800,,
1407,Kepler-1396,b,Transit,1,18.22064210,,,,0.185,,19h37m20.75s,294.336468,+44d55m05.9s,44.918293,1236.00,14.544,6195.00,1.18,1.27,,,2.070,,
1408,Kepler-1397,b,Transit,1,47.44995500,,,,0.153,,19h58m42.21s,299.675859,+47d04m33.0s,47.075844,770.00,14.089,6026.00,1.09,1.12,,,1.720,,
1409,Kepler-1398,b,Transit,2,2.78815679,,,,0.080,,19h39m27.88s,294.866185,+48d38m20.3s,48.638985,793.00,13.710,6126.00,1.13,1.18,,,0.900,,
1410,Kepler-1398,c,Transit,2,4.13827595,,,,0.092,,19h39m27.88s,294.866185,+48d38m20.3s,48.638985,793.00,13.710,6126.00,1.13,1.18,,,1.030,,
1411,Kepler-1399,b,Transit,1,1.63865306,,,,0.112,,19h33m14.80s,293.311681,+46d02m30.2s,46.041714,1256.00,15.490,5735.00,0.97,0.96,,,1.250,,
1412,Kepler-14,b,Transit,1,6.79012300,,0.035000,90.000,1.136,7.10000,19h10m50.12s,287.708814,+47d19m59.0s,47.333050,980.00,12.128,6395.00,1.51,2.05,,2669.66000,12.733,,
1413,Kepler-140,b,Transit,2,3.25427000,0.045000,,,0.144,,19h09m28.67s,287.369468,+46d46m05.6s,46.768213,,12.996,6077.00,,1.29,,,1.610,,
1414,Kepler-140,c,Transit,2,91.35328200,0.414000,,,0.161,,19h09m28.67s,287.369468,+46d46m05.6s,46.768213,,12.996,6077.00,,1.29,,,1.800,,
1415,Kepler-1400,b,Transit,1,9.06689421,,,,0.145,,19h05m05.20s,286.271652,+45d26m26.9s,45.440807,879.00,15.737,5044.00,0.83,0.78,,,1.620,,
1416,Kepler-1401,b,Transit,1,11.20066445,,,,0.150,,19h09m51.85s,287.466042,+40d45m30.4s,40.758452,1242.00,14.982,5964.00,1.07,1.10,,,1.680,,
1417,Kepler-1402,b,Transit,1,2.03387914,,,,0.068,,19h27m23.48s,291.847824,+48d58m05.3s,48.968132,681.00,14.621,5416.00,0.90,0.87,,,0.760,,
1418,Kepler-1403,b,Transit,1,5.19492202,,,,0.191,,19h23m28.25s,290.867707,+38d57m36.4s,38.960119,1801.00,15.598,6060.00,1.11,1.15,,,2.140,,
1419,Kepler-1404,b,Transit,1,15.93147390,,,,0.179,,19h44m02.26s,296.009430,+50d29m54.2s,50.498386,946.00,15.688,5261.00,0.84,0.80,,,2.010,,
1420,Kepler-1405,b,Transit,1,28.22741840,,,,0.353,,19h42m44.36s,295.684842,+39d15m22.1s,39.256142,1605.00,15.873,5925.00,1.05,1.07,,,3.960,,
1421,Kepler-1406,b,Transit,1,11.62905828,,,,0.098,,19h28m19.65s,292.081863,+38d54m54.1s,38.915023,587.00,13.256,5892.00,1.05,1.12,,,1.100,,
1422,Kepler-1407,b,Transit,1,20.07115040,,,,0.201,,18h55m46.18s,283.942432,+41d28m17.8s,41.471600,1275.00,14.935,6010.00,1.10,1.15,,,2.250,,
1423,Kepler-1408,b,Transit,1,2.99793191,,,,0.079,,18h50m47.99s,282.699942,+45d25m32.8s,45.425770,426.00,12.003,6170.00,1.21,1.35,,,0.890,,
1424,Kepler-1409,b,Transit,1,0.76486493,,,,0.093,,19h20m20.35s,290.084786,+51d12m31.0s,51.208603,722.00,15.168,5160.00,0.83,0.79,,,1.040,,
1425,Kepler-141,b,Transit,2,3.10767500,0.039000,,,0.062,,19h51m53.02s,297.970897,+47d43m54.0s,47.731678,,13.448,4910.00,1.00,0.79,,,0.690,,
1426,Kepler-141,c,Transit,2,7.01060600,0.067000,,,0.126,,19h51m53.02s,297.970897,+47d43m54.0s,47.731678,,13.448,4910.00,1.00,0.79,,,1.410,,
1427,Kepler-1410,b,Transit,1,60.86616800,,,,0.159,,19h22m02.45s,290.510198,+38d44m36.8s,38.743544,367.00,15.757,4092.00,0.63,0.60,,,1.780,,
1428,Kepler-1411,b,Transit,1,86.11508880,,,,0.252,,19h05m26.78s,286.361579,+42d57m50.1s,42.963924,1431.00,15.831,5664.00,0.95,0.92,,,2.820,,
1429,Kepler-1412,b,Transit,1,3.61460510,,,,0.074,,19h28m43.23s,292.180120,+49d12m08.9s,49.202480,639.00,13.219,5880.00,1.06,1.27,,,0.830,,
1430,Kepler-1413,b,Transit,1,13.18296420,,,,0.162,,19h37m22.00s,294.341649,+46d29m55.6s,46.498767,1162.00,16.239,5196.00,0.84,0.80,,,1.820,,
1431,Kepler-1414,b,Transit,1,3.51576315,,,,0.110,,18h59m42.86s,284.928580,+42d25m20.3s,42.422310,534.00,14.897,4951.00,0.80,0.75,,,1.230,,
1432,Kepler-1415,b,Transit,1,0.63642408,,,,0.115,,19h00m37.66s,285.156913,+47d52m24.0s,47.873333,1066.00,15.744,5267.00,0.89,0.84,,,1.290,,
1433,Kepler-1416,b,Transit,1,1.49514952,,,,0.079,,19h54m39.23s,298.663468,+43d53m38.7s,43.894073,807.00,14.220,6019.00,1.09,1.15,,,0.880,,
1434,Kepler-1417,b,Transit,1,20.35052130,,,,0.089,,19h23m47.97s,290.949888,+40d36m18.8s,40.605215,656.00,13.914,5839.00,1.02,1.02,,,1.000,,
1435,Kepler-1418,b,Transit,1,22.47644250,,,,0.148,,18h51m59.39s,282.997478,+41d40m42.8s,41.678551,499.00,15.037,4770.00,0.77,0.72,,,1.660,,
1436,Kepler-1419,b,Transit,1,42.52158950,,,,0.255,,19h29m01.11s,292.254635,+37d58m17.1s,37.971420,1444.00,15.761,5796.00,1.01,1.01,,,2.860,,
1437,Kepler-142,b,Transit,3,2.02415200,0.032000,,,0.178,,19h40m28.54s,295.118899,+48d28m52.6s,48.481281,,13.203,5790.00,0.99,1.27,,,1.990,,
1438,Kepler-142,c,Transit,3,4.76170200,0.057000,,,0.255,,19h40m28.54s,295.118899,+48d28m52.6s,48.481281,,13.203,5790.00,0.99,1.27,,,2.860,,
1439,Kepler-142,d,Transit,3,41.80911800,0.242000,,,0.193,,19h40m28.54s,295.118899,+48d28m52.6s,48.481281,,13.203,5790.00,0.99,1.27,,,2.160,,
1440,Kepler-1420,b,Transit,1,6.69960006,,,,0.114,,19h44m48.91s,296.203810,+42d46m40.2s,42.777832,923.00,15.883,5187.00,0.82,0.79,,,1.280,,
1441,Kepler-1421,b,Transit,1,6.91311120,,,,0.083,,19h06m19.34s,286.580592,+48d32m39.1s,48.544197,675.00,12.788,6335.00,1.25,1.42,,,0.930,,
1442,Kepler-1422,b,Transit,1,18.60519420,,,,0.180,,19h35m33.64s,293.890178,+48d20m10.0s,48.336121,2081.00,15.665,6194.00,1.15,1.23,,,2.020,,
1443,Kepler-1423,b,Transit,1,23.95537800,,,,0.095,,19h12m58.51s,288.243782,+41d06m36.3s,41.110081,449.00,14.553,4939.00,0.79,0.75,,,1.060,,
1444,Kepler-1424,b,Transit,1,29.60917440,,,,0.103,,19h23m58.00s,290.991665,+40d13m45.6s,40.229320,620.00,13.619,5838.00,1.02,1.07,,,1.160,,
1445,Kepler-1425,b,Transit,1,14.45413020,,,,0.084,,19h39m48.25s,294.951036,+43d00m44.8s,43.012436,499.00,13.572,5718.00,0.97,0.95,,,0.940,,
1446,Kepler-1426,b,Transit,1,14.25632270,,,,0.139,,19h30m10.98s,292.545764,+49d25m01.1s,49.416973,1211.00,15.192,5831.00,1.02,1.02,,,1.560,,
1447,Kepler-1427,b,Transit,1,0.96897238,,,,0.098,,19h41m23.92s,295.349667,+45d06m52.4s,45.114548,1220.00,15.415,5793.00,1.01,1.01,,,1.100,,
1448,Kepler-1428,b,Transit,1,10.67607169,,,,0.146,,19h50m34.14s,297.642262,+49d35m41.9s,49.594978,802.00,13.688,6184.00,1.28,1.36,,,1.640,,
1449,Kepler-1429,b,Transit,1,4.48487493,,,,0.115,,19h01m27.90s,285.366245,+49d02m41.5s,49.044868,1156.00,14.879,5902.00,1.05,1.07,,,1.290,,
1450,Kepler-143,b,Transit,2,16.00758300,0.127000,,,0.215,,19h52m16.25s,298.067706,+49d24m45.4s,49.412605,,13.770,5848.00,,1.36,,,2.410,,
1451,Kepler-143,c,Transit,2,27.08251100,0.181000,,,0.301,,19h52m16.25s,298.067706,+49d24m45.4s,49.412605,,13.770,5848.00,,1.36,,,3.370,,
1452,Kepler-1430,b,Transit,1,2.46050993,,,,0.105,,19h18m47.40s,289.697494,+43d22m19.5s,43.372093,541.00,15.245,4796.00,0.77,0.72,,,1.180,,
1453,Kepler-1431,b,Transit,1,5.86601526,,,,0.131,,19h30m38.01s,292.658395,+49d51m54.7s,49.865192,1270.00,15.273,5806.00,1.03,1.03,,,1.470,,
1454,Kepler-1432,b,Transit,1,23.91090110,,,,0.198,,19h42m05.80s,295.524175,+49d49m46.4s,49.829548,1552.00,15.376,6031.00,1.09,1.13,,,2.220,,
1455,Kepler-1433,b,Transit,1,4.13592271,,,,0.139,,19h09m27.19s,287.363299,+49d27m24.8s,49.456890,1328.00,14.826,6097.00,1.14,1.19,,,1.560,,
1456,Kepler-1434,b,Transit,1,8.05333618,,,,0.099,,19h42m09.21s,295.538380,+51d12m10.6s,51.202957,680.00,12.086,6291.00,1.47,2.04,,,1.110,,
1457,Kepler-1435,b,Transit,1,4.45343281,,,,0.077,,19h24m41.59s,291.173299,+44d55m16.1s,44.921131,681.00,12.938,6356.00,1.21,1.32,,,0.860,,
1458,Kepler-1436,b,Transit,1,9.70571600,,,,0.117,,19h50m50.78s,297.711565,+46d46m04.9s,46.768021,1142.00,14.930,5972.00,1.06,1.09,,,1.310,,
1459,Kepler-1437,b,Transit,1,10.92954610,,,,0.122,,19h27m27.58s,291.864930,+49d19m33.3s,49.325920,1182.00,15.591,5557.00,0.93,0.90,,,1.370,,
1460,Kepler-1438,b,Transit,1,2.31942009,,,,0.084,,19h17m09.55s,289.289809,+40d40m54.0s,40.681665,866.00,14.869,5530.00,0.97,0.96,,,0.940,,
1461,Kepler-1439,b,Transit,1,8.07392849,,,,0.130,,19h02m57.55s,285.739806,+40d58m48.1s,40.980036,215.00,16.109,3578.00,0.46,0.43,,,1.460,,
1462,Kepler-144,b,Transit,2,5.88527300,0.066000,,,0.119,,18h47m39.76s,281.915678,+42d46m31.8s,42.775513,,11.992,6075.00,1.03,1.24,,,1.330,,
1463,Kepler-144,c,Transit,2,10.10466500,0.094000,,,0.120,,18h47m39.76s,281.915678,+42d46m31.8s,42.775513,,11.992,6075.00,1.03,1.24,,,1.350,,
1464,Kepler-1440,b,Transit,1,39.85948400,,,,0.112,,19h01m23.27s,285.346938,+48d18m44.1s,48.312252,685.00,14.131,5698.00,0.98,0.96,,,1.260,,
1465,Kepler-1441,b,Transit,1,39.44198390,,,,0.117,,19h34m52.59s,293.719126,+43d07m28.5s,43.124590,751.00,14.268,5802.00,1.00,1.00,,,1.310,,
1466,Kepler-1442,b,Transit,1,81.41629410,,,,0.351,,19h25m01.34s,291.255595,+48d50m49.1s,48.846970,525.00,12.146,6394.00,1.34,1.44,,,3.930,,
1467,Kepler-1443,b,Transit,1,2.41811321,,,,0.087,,18h53m44.58s,283.435761,+47d04m00.7s,47.066855,475.00,12.278,6289.00,1.19,1.27,,,0.970,,
1468,Kepler-1444,b,Transit,1,33.42035034,,,,0.194,,19h01m19.35s,285.330615,+42d02m25.6s,42.040436,340.00,12.325,5810.00,1.03,1.05,,,2.180,,
1469,Kepler-1445,b,Transit,1,10.60052251,,,,0.086,,18h40m59.87s,280.249457,+43d54m54.2s,43.915066,482.00,12.405,6150.00,1.13,1.26,,,0.960,,
1470,Kepler-1446,b,Transit,1,0.68996783,,,,0.073,,19h17m41.75s,289.423960,+46d43m34.2s,46.726170,162.00,12.411,4865.00,0.81,0.75,,,0.820,,
1471,Kepler-1447,b,Transit,1,56.67472850,,,,0.259,,19h18m34.43s,289.643439,+50d43m37.5s,50.727089,871.00,14.682,5722.00,0.97,0.95,,,2.900,,
1472,Kepler-1448,b,Transit,1,12.27065865,,,,0.144,,19h11m28.17s,287.867389,+50d35m44.1s,50.595585,786.00,14.411,5774.00,0.95,0.93,,,1.610,,
1473,Kepler-1449,b,Transit,1,13.22745280,,,,0.150,,19h12m55.62s,288.231731,+50d34m04.4s,50.567886,1321.00,15.050,5979.00,1.08,1.10,,,1.680,,
1474,Kepler-145,b,Transit,2,22.95100000,,,,0.236,,19h25m33.06s,291.387762,+44d31m44.8s,44.529106,,11.931,6022.00,1.32,1.85,,37.10000,2.650,,
1475,Kepler-145,c,Transit,2,42.88200000,,,,0.385,,19h25m33.06s,291.387762,+44d31m44.8s,44.529106,,11.931,6022.00,1.32,1.85,,79.40000,4.320,,
1476,Kepler-1450,b,Transit,1,54.50941660,,,,0.153,,19h38m12.92s,294.553828,+45d04m53.0s,45.081390,490.00,15.498,4524.00,0.71,0.68,,,1.710,,
1477,Kepler-1451,b,Transit,1,35.62223300,,,,0.299,,19h33m47.14s,293.446425,+40d24m35.6s,40.409892,1159.00,15.332,5782.00,1.00,0.99,,,3.350,,
1478,Kepler-1452,b,Transit,1,42.91375100,,,,0.241,,19h29m41.48s,292.422830,+38d15m58.8s,38.266328,974.00,13.062,6101.00,1.41,2.06,,,2.700,,
1479,Kepler-1453,b,Transit,1,47.16116960,,,,0.238,,19h04m30.13s,286.125545,+47d56m51.4s,47.947613,1284.00,15.570,5665.00,0.97,0.94,,,2.670,,
1480,Kepler-1454,b,Transit,1,47.03194790,,,,0.168,,18h56m53.60s,284.223331,+48d49m54.4s,48.831772,795.00,14.904,5448.00,0.90,0.86,,,1.880,,
1481,Kepler-1455,b,Transit,1,49.27676400,,,,0.193,,19h36m19.93s,294.083055,+50d30m10.0s,50.502777,392.00,15.855,4075.00,0.62,0.60,,,2.160,,
1482,Kepler-1456,b,Transit,1,18.13738290,,,,0.102,,19h07m46.88s,286.945321,+43d49m22.0s,43.822773,379.00,15.464,4231.00,0.64,0.62,,,1.140,,
1483,Kepler-1457,b,Transit,1,51.11102430,,,,0.178,,18h55m04.94s,283.770601,+42d01m38.1s,42.027245,728.00,14.060,5866.00,1.01,1.01,,,1.990,,
1484,Kepler-1458,b,Transit,1,47.98727640,,,,0.246,,18h52m50.79s,283.211614,+41d02m17.0s,41.038063,642.00,14.190,5653.00,0.96,0.94,,,2.760,,
1485,Kepler-1459,b,Transit,1,62.86916110,,,,0.121,,18h49m41.53s,282.423025,+46d00m50.5s,46.014019,435.00,14.591,4828.00,0.78,0.74,,,1.360,,
1486,Kepler-146,b,Transit,2,31.15879900,0.200000,,,0.331,,19h36m26.58s,294.110756,+38d42m36.8s,38.710230,,13.838,5948.00,,1.21,,,3.710,,
1487,Kepler-146,c,Transit,2,76.73217100,0.364000,,,0.279,,19h36m26.58s,294.110756,+38d42m36.8s,38.710230,,13.838,5948.00,,1.21,,,3.130,,
1488,Kepler-1460,b,Transit,1,29.96332470,,,,0.175,,19h02m13.87s,285.557796,+44d00m38.8s,44.010788,574.00,15.947,4422.00,0.70,0.67,,,1.960,,
1489,Kepler-1461,b,Transit,1,29.34947750,,,,0.181,,19h03m19.31s,285.830458,+43d11m54.2s,43.198395,752.00,15.689,4919.00,0.79,0.74,,,2.030,,
1490,Kepler-1462,b,Transit,1,65.64883410,,,,0.341,,19h45m35.41s,296.397527,+42d23m48.9s,42.396918,1368.00,15.858,5756.00,1.00,1.00,,,3.820,,
1491,Kepler-1463,b,Transit,1,25.15864000,,,,0.166,,19h37m56.95s,294.487304,+42d00m24.9s,42.006920,1341.00,15.759,5679.00,0.96,0.95,,,1.860,,
1492,Kepler-1464,b,Transit,2,31.77859010,,,,0.148,,19h08m56.56s,287.235677,+38d45m15.0s,38.754161,692.00,14.159,5828.00,1.02,1.01,,,1.660,,
1493,Kepler-1464,c,Transit,2,5.32786292,,,,0.089,,19h08m56.56s,287.235677,+38d45m15.0s,38.754161,692.00,14.159,5828.00,1.02,1.01,,,1.000,,
1494,Kepler-1465,b,Transit,1,31.82771110,,,,0.158,,19h19m16.64s,289.819341,+51d54m17.5s,51.904850,350.00,14.410,4726.00,0.75,0.71,,,1.770,,
1495,Kepler-1466,b,Transit,1,31.17504480,,,,0.138,,19h19m19.49s,289.831222,+44d36m35.5s,44.609863,686.00,13.926,5884.00,1.01,1.02,,,1.550,,
1496,Kepler-1467,b,Transit,1,47.05690430,,,,0.294,,19h40m11.65s,295.048540,+45d20m33.7s,45.342686,890.00,15.549,5332.00,0.86,0.82,,,3.300,,
1497,Kepler-1468,b,Transit,2,8.23984869,,,,0.154,,19h34m04.76s,293.519844,+41d16m38.7s,41.277405,1130.00,15.024,5893.00,1.04,1.05,,,1.730,,
1498,Kepler-1468,c,Transit,2,3.54553021,,,,0.103,,19h34m04.76s,293.519844,+41d16m38.7s,41.277405,1130.00,15.024,5893.00,1.04,1.05,,,1.150,,
1499,Kepler-1469,b,Transit,1,21.86353010,,,,0.250,,19h35m17.13s,293.821357,+39d23m28.9s,39.391350,1255.00,15.965,5507.00,0.92,0.89,,,2.800,,
1500,Kepler-147,b,Transit,2,12.61058400,0.113000,,,0.136,,19h11m54.18s,287.975766,+39d05m13.9s,39.087181,,13.954,6012.00,1.01,1.47,,,1.530,,
1501,Kepler-147,c,Transit,2,33.41642300,0.216000,,,0.217,,19h11m54.18s,287.975766,+39d05m13.9s,39.087181,,13.954,6012.00,1.01,1.47,,,2.430,,
1502,Kepler-1470,b,Transit,1,16.29509030,,,,0.095,,19h14m46.80s,288.695007,+39d52m59.5s,39.883191,569.00,15.061,4961.00,0.80,0.76,,,1.070,,
1503,Kepler-1471,b,Transit,1,3.63899398,,,,0.126,,19h18m39.57s,289.664878,+50d01m12.2s,50.020046,1059.00,15.254,5660.00,0.95,0.93,,,1.410,,
1504,Kepler-1472,b,Transit,1,38.13128310,,,,0.170,,19h39m24.64s,294.852648,+49d03m26.9s,49.057472,1269.00,14.633,6159.00,1.16,1.25,,,1.900,,
1505,Kepler-1473,b,Transit,1,14.42735510,,,,0.106,,19h22m32.78s,290.636569,+48d59m45.9s,48.996082,625.00,13.359,6046.00,1.09,1.09,,,1.190,,
1506,Kepler-1474,b,Transit,1,36.43334520,,,,0.193,,19h38m46.57s,294.694049,+45d52m00.6s,45.866837,1214.00,15.246,5870.00,1.04,1.04,,,2.160,,
1507,Kepler-1475,b,Transit,1,82.17737400,,,,0.261,,19h43m47.59s,295.948273,+44d45m11.2s,44.753124,1714.00,15.292,6214.00,1.18,1.28,,,2.920,,
1508,Kepler-1476,b,Transit,1,10.35863224,,,,0.149,,18h58m07.70s,284.532096,+43d59m23.8s,43.989956,1218.00,15.408,5663.00,0.98,0.96,,,1.670,,
1509,Kepler-1477,b,Transit,1,11.55530021,,,,0.105,,18h45m11.65s,281.298535,+42d41m08.7s,42.685753,525.00,14.598,5100.00,0.81,0.78,,,1.180,,
1510,Kepler-1478,b,Transit,1,26.08405940,,,,0.154,,19h32m39.62s,293.165079,+41d44m46.4s,41.746235,1405.00,15.440,5904.00,1.04,1.06,,,1.730,,
1511,Kepler-1479,b,Transit,1,14.53261362,,,,0.163,,19h02m50.86s,285.711919,+49d42m24.0s,49.706657,619.00,13.785,5796.00,0.99,0.98,,,1.830,,
1512,Kepler-148,b,Transit,3,1.72936600,0.028000,,,0.161,,19h19m08.69s,289.786216,+46d51m31.6s,46.858788,,15.342,5272.00,,0.85,,,1.800,,
1513,Kepler-148,c,Transit,3,4.18004300,0.050000,,,0.321,,19h19m08.69s,289.786216,+46d51m31.6s,46.858788,,15.342,5272.00,,0.85,,,3.600,,
1514,Kepler-148,d,Transit,3,51.84688575,,,,0.774,,19h19m08.69s,289.786216,+46d51m31.6s,46.858788,,15.342,5272.00,,0.85,,,8.680,,
1515,Kepler-1480,b,Transit,1,22.12679948,,,,0.149,,19h27m59.95s,291.999771,+49d18m06.5s,49.301811,540.00,14.523,5156.00,0.85,0.81,,,1.670,,
1516,Kepler-1481,b,Transit,1,5.94220998,,,,0.110,,19h17m45.35s,289.438971,+49d43m52.4s,49.731220,493.00,14.779,4908.00,0.80,0.75,,,1.230,,
1517,Kepler-1482,b,Transit,1,12.25383217,,,,0.090,,19h01m15.31s,285.313805,+48d43m30.9s,48.725254,442.00,13.747,5381.00,0.88,0.84,,,1.010,,
1518,Kepler-1483,b,Transit,1,9.50851560,,,,0.136,,19h41m38.35s,295.409776,+42d09m03.0s,42.150831,1327.00,14.440,6337.00,1.25,1.40,,,1.520,,
1519,Kepler-1484,b,Transit,1,30.45491360,,,,0.188,,19h30m44.23s,292.684285,+38d07m34.6s,38.126286,1095.00,15.268,5730.00,0.94,0.92,,,2.110,,
1520,Kepler-1485,b,Transit,1,19.91577250,,,,0.131,,19h52m22.90s,298.095423,+44d44m13.4s,44.737057,550.00,13.204,6087.00,1.11,1.12,,,1.470,,
1521,Kepler-1486,b,Transit,1,54.64957590,,,,0.207,,19h22m21.69s,290.590382,+45d26m23.0s,45.439713,1465.00,15.335,5965.00,1.08,1.12,,,2.320,,
1522,Kepler-1487,b,Transit,1,7.31946363,,,,0.190,,19h41m59.55s,295.498108,+38d38m40.2s,38.644501,1094.00,13.489,6541.00,1.38,1.63,,,2.130,,
1523,Kepler-1488,b,Transit,1,39.81899320,,,,0.166,,19h06m35.14s,286.646417,+49d56m16.0s,49.937778,618.00,13.102,5820.00,1.05,1.31,,,1.860,,
1524,Kepler-1489,b,Transit,1,82.29475100,,,,0.158,,18h45m11.00s,281.295831,+44d27m55.5s,44.465405,870.00,14.828,5655.00,0.93,0.90,,,1.770,,
1525,Kepler-149,b,Transit,3,29.19894300,0.184000,,,0.376,,19h03m24.88s,285.853667,+38d23m02.8s,38.384119,,14.001,5381.00,,0.95,,,4.210,,
1526,Kepler-149,c,Transit,3,55.32832800,0.281000,,,0.144,,19h03m24.88s,285.853667,+38d23m02.8s,38.384119,,14.001,5381.00,,0.95,,,1.610,,
1527,Kepler-149,d,Transit,3,160.01803200,0.571000,,,0.353,,19h03m24.88s,285.853667,+38d23m02.8s,38.384119,,14.001,5381.00,,0.95,,,3.960,,
1528,Kepler-1490,b,Transit,1,92.43629730,,,,0.271,,19h42m46.46s,295.693573,+42d36m34.2s,42.609512,968.00,15.449,5515.00,0.90,0.87,,,3.040,,
1529,Kepler-1491,b,Transit,1,16.58617620,,,,0.135,,19h34m31.14s,293.629756,+45d44m26.3s,45.740651,1312.00,15.589,5728.00,1.00,0.99,,,1.510,,
1530,Kepler-1492,b,Transit,1,16.75255007,,,,0.133,,19h14m23.30s,288.597097,+41d02m11.1s,41.036420,371.00,14.534,4712.00,0.77,0.72,,,1.490,,
1531,Kepler-1493,b,Transit,1,15.02179830,,,,0.126,,19h14m11.80s,288.549148,+38d33m54.8s,38.565232,572.00,13.109,5863.00,1.06,1.29,,,1.410,,
1532,Kepler-1494,b,Transit,1,91.08048200,,,,0.274,,18h50m37.78s,282.657401,+43d09m45.1s,43.162518,1059.00,15.214,5659.00,0.96,0.94,,,3.070,,
1533,Kepler-1495,b,Transit,1,85.27325600,,,,0.262,,19h04m31.38s,286.130757,+38d46m46.7s,38.779631,1307.00,15.417,5831.00,1.03,1.04,,,2.940,,
1534,Kepler-1496,b,Transit,1,64.65880170,,,,0.198,,19h35m53.74s,293.973936,+45d21m02.5s,45.350704,1293.00,14.694,6182.00,1.18,1.27,,,2.220,,
